cost,similarityEdgesAvg,similarityNodesAvg,similarityEdgesBest,similarityNodesBest
70807,49.687,89.496,58.0,93.0
71356,49.974,89.038,59.0,91.0
71401,44.815,88.877,54.0,93.0
71542,48.654,89.482,60.0,94.0
71556,48.945,88.838,62.0,92.0
71648,48.418,89.294,59.0,92.0
71667,47.903,88.58,55.0,94.0
71671,49.259,90.281,54.0,92.0
71680,48.289,89.035,55.0,90.0
71722,47.938,87.024,63.0,91.0
71733,47.466,89.9,57.0,97.0
71739,48.127,90.014,58.0,93.0
71786,46.425,89.169,50.0,91.0
71811,49.391,89.625,55.0,92.0
71816,45.759,87.711,53.0,92.0
71817,48.6905,88.674,58.5,91.5
71826,47.007,88.777,58.0,94.0
71831,48.303,90.274,51.0,93.0
71846,46.237,89.363,65.0,94.0
71877,49.541,89.698,60.0,91.0
71901,49.052,89.13,63.0,91.0
71972,47.346,89.389,53.0,90.0
71984,48.603,89.098,55.0,90.0
71991,46.442,89.156,50.0,92.0
71992,46.471,87.864,59.0,90.0
72001,47.194,88.039,48.0,89.0
72008,49.202,89.034,53.0,89.0
72010,47.002,89.052,52.0,91.0
72019,48.344,88.776,46.0,89.0
72022,46.693,88.913,59.0,92.0
72025,47.943,88.876,59.0,91.0
72048,45.538,88.115,57.0,94.0
72050,49.481,88.587,63.0,91.0
72074,46.565,89.277,52.0,93.0
72075,47.05,88.779,50.0,91.0
72076,48.277,89.843,56.0,93.0
72080,46.01,87.679,59.0,89.0
72081,47.117,89.067,53.0,92.0
72100,48.09,88.223,56.0,92.0
72110,50.039,88.921,61.0,94.0
72121,47.456,88.728,53.0,90.0
72126,47.374,89.212,55.0,93.0
72127,49.2355,89.569,60.5,91.5
72129,47.777,88.488,61.0,91.0
72143,48.426,89.515,56.0,91.0
72145,49.186,89.314,54.0,90.0
72162,45.057,88.888,47.0,91.0
72164,47.722,89.277,58.0,92.0
72172,47.0845,89.0625,55.0,91.5
72181,48.211,90.139,58.0,94.0
72185,47.661,89.66,53.0,91.0
72190,49.544,89.537,55.0,90.0
72201,47.565,89.704,63.0,93.0
72204,46.844,89.099,61.0,94.0
72218,46.108,87.326,55.0,88.0
72241,46.969,88.504,58.0,93.0
72257,46.258,88.892,53.0,92.0
72261,48.923500000000004,90.10849999999999,59.0,92.0
72263,48.435,89.054,61.0,93.0
72264,46.94,88.776,57.0,91.0
72266,47.318,88.925,56.0,90.0
72267,46.852,88.672,51.0,90.0
72270,45.793,88.175,61.0,94.0
72275,49.277,89.627,59.0,91.0
72276,45.452,88.541,49.0,88.0
72280,48.843,88.568,56.0,93.0
72281,46.561,89.228,53.0,92.0
72283,47.637,89.847,57.0,92.0
72288,48.266,87.841,49.0,88.0
72289,45.513,87.874,58.0,92.0
72295,47.395,87.195,60.0,90.0
72301,48.067,90.02,49.0,92.0
72304,46.373999999999995,88.207,54.5,91.5
72306,48.183,89.347,57.0,92.0
72327,45.32,88.172,53.0,92.0
72328,47.105,89.374,50.0,91.0
72331,46.361,88.21,57.0,89.0
72335,45.445,88.773,56.0,91.0
72339,44.702,88.862,55.0,92.0
72341,46.827,89.424,56.0,91.0
72349,47.266999999999996,89.4565,53.5,90.5
72355,45.519,88.802,51.0,90.0
72368,47.736999999999995,88.146,52.5,90.0
72376,47.653,88.365,55.0,91.0
72386,48.013999999999996,89.604,55.5,92.0
72387,46.708,89.806,53.0,93.0
72388,47.596,89.417,49.0,90.0
72392,45.689,87.827,57.0,93.0
72399,46.650666666666666,88.774,52.666666666666664,90.0
72405,46.5225,88.1675,49.5,88.0
72414,47.267,89.689,51.0,91.0
72434,47.645,89.737,56.0,93.0
72435,48.094,89.9,51.0,90.0
72436,46.143,89.667,50.5,91.0
72454,48.865,88.868,56.0,90.0
72455,47.215,88.329,59.0,88.0
72456,45.985,89.496,52.0,93.0
72461,47.602,88.916,47.0,91.0
72467,46.5415,88.4355,56.5,91.0
72469,45.983,87.896,53.0,89.0
72472,46.191,88.347,52.0,92.0
72475,47.949,88.53,61.0,89.5
72476,45.883,89.218,50.0,92.0
72494,45.563,89.656,54.0,92.0
72498,44.691,88.935,55.0,91.0
72505,48.05,88.808,56.0,89.0
72508,46.21,88.118,53.0,92.0
72509,46.674,88.317,53.0,86.0
72510,48.573,89.035,59.0,90.0
72514,46.514,89.249,60.0,91.0
72515,46.503,88.933,51.0,91.0
72518,45.772,88.324,62.0,94.0
72520,45.176,87.471,59.0,93.0
72524,45.565,88.609,57.0,90.0
72529,44.937,88.821,54.0,91.0
72531,47.4645,88.634,56.0,91.5
72534,45.132,87.478,57.0,89.0
72538,46.689,89.645,51.0,92.0
72539,44.768,88.831,53.0,91.0
72543,48.297,88.912,58.0,90.0
72544,46.783,89.121,59.0,93.0
72548,47.978,86.645,56.0,88.0
72549,45.46,88.974,53.0,91.0
72551,46.544,88.587,55.0,93.0
72552,46.358,87.741,53.0,89.0
72556,48.144,88.658,60.0,91.0
72561,47.046,89.413,56.0,92.0
72574,46.253,88.72,57.0,91.0
72578,44.976,87.176,62.0,94.0
72580,46.64,87.579,58.0,90.0
72582,46.323,87.436,55.0,90.0
72589,46.336,88.503,51.0,88.0
72597,44.671,88.746,52.0,92.0
72600,44.158,88.419,55.0,95.0
72604,47.647,90.237,55.0,95.0
72605,47.986,89.048,58.0,92.0
72607,48.2625,88.8685,57.0,91.5
72608,46.199,87.258,51.0,87.0
72611,46.411,88.634,50.0,90.0
72614,45.642,89.043,58.0,93.0
72617,45.192,88.213,52.0,92.0
72620,46.571,88.482,53.0,90.0
72622,46.462,89.05,61.0,95.0
72623,46.07,88.914,49.0,91.0
72628,47.979,89.657,56.0,92.0
72631,46.123,89.255,53.0,90.0
72635,46.109,89.681,53.0,90.0
72637,45.102000000000004,88.19200000000001,53.5,91.5
72643,49.768,89.342,56.0,88.0
72644,45.9405,88.795,51.5,90.0
72658,47.04,88.579,61.0,90.0
72659,48.06,89.09,55.0,91.0
72660,46.847,89.9,66.0,93.0
72662,46.384,90.242,54.0,93.0
72663,45.334,88.346,54.0,92.0
72669,48.001,88.953,60.0,92.0
72673,47.364,87.236,54.0,89.0
72675,48.896,88.567,55.0,90.0
72680,44.05,87.444,54.0,88.0
72683,47.993,87.86,58.0,92.0
72688,48.28,88.959,58.0,91.0
72690,47.822,88.9,49.0,89.0
72691,44.034,87.363,54.0,92.0
72692,46.61,89.41,56.0,93.0
72694,43.944,87.457,58.0,91.0
72699,47.106,88.6275,53.5,89.5
72702,46.3635,88.369,54.0,90.0
72715,47.732,89.819,55.0,91.0
72718,48.219,88.657,57.0,90.0
72720,48.098,88.731,57.0,91.0
72722,43.354,88.596,56.0,92.0
72728,43.416,89.122,51.0,91.0
72731,46.752,88.805,56.0,91.0
72733,46.841,88.758,57.0,91.0
72735,46.151,87.09,51.0,87.0
72743,47.936,89.03,55.0,92.0
72745,45.376,88.221,58.0,93.0
72750,47.985,88.771,50.0,90.0
72752,46.172,89.854,54.0,91.0
72753,45.707,90.268,56.0,93.0
72754,45.917,88.437,53.0,91.0
72759,44.594,86.686,55.0,89.0
72761,47.172,89.074,54.0,89.0
72762,46.985,88.35749999999999,49.5,89.0
72763,46.115,89.291,55.0,91.0
72767,46.06,88.776,51.0,92.0
72768,46.1425,88.28399999999999,52.0,89.0
72770,46.221,87.167,50.0,89.0
72772,46.3725,88.3155,55.0,90.0
72774,45.108,88.269,48.0,89.0
72783,46.883,87.209,56.0,88.0
72784,44.164,86.144,55.0,89.0
72785,46.06,88.881,58.0,95.0
72798,46.266,88.789,53.0,88.0
72802,45.193,86.861,55.0,89.0
72804,47.397,88.768,50.0,88.0
72809,46.452,87.08,48.0,87.0
72814,43.633,89.665,47.0,92.0
72815,47.241,87.861,51.0,90.0
72817,44.531,88.031,58.0,93.0
72818,46.02,88.118,51.0,90.0
72819,46.408500000000004,88.2225,54.5,92.0
72822,46.487,87.073,59.0,90.0
72823,48.407,89.582,61.0,90.0
72824,46.445,89.442,57.0,91.0
72834,46.209,88.7805,57.0,91.0
72835,45.926,89.024,47.0,90.0
72839,45.2,86.677,53.0,89.0
72842,47.793,89.142,59.0,90.0
72844,46.199,88.066,52.0,92.0
72847,45.085,89.44,50.0,92.0
72850,46.533,87.591,61.0,90.0
72851,45.715,87.666,53.0,89.0
72854,44.653,87.112,61.0,90.0
72858,47.841,89.177,51.0,91.0
72859,45.287,89.305,55.0,94.0
72866,43.697,88.576,51.0,93.0
72870,46.939,88.299,51.0,90.0
72873,46.104,87.944,55.0,90.0
72874,45.062,87.9535,55.5,91.0
72876,47.224,87.738,62.0,92.0
72879,42.638,88.679,54.0,94.0
72882,44.671,87.775,60.0,90.0
72888,44.846,89.391,51.0,92.0
72893,45.886,88.009,48.0,88.0
72894,46.432,88.711,53.0,89.0
72895,44.454,88.218,53.0,91.0
72898,44.547,88.358,56.0,92.0
72903,45.316,89.738,50.0,92.0
72907,44.331,88.728,49.0,90.0
72911,44.807,88.824,47.0,89.0
72914,45.6175,89.101,53.0,91.5
72915,45.738,88.662,54.0,92.0
72916,46.873,88.296,65.0,92.0
72917,46.554,89.077,53.0,89.0
72918,47.515,88.19,55.0,90.0
72920,45.39,89.16,55.0,92.0
72922,46.14,88.6,56.0,90.0
72927,45.469,89.144,55.0,93.0
72929,48.017,89.116,56.0,92.0
72930,46.07,89.062,50.0,90.0
72933,48.937,88.336,56.0,89.0
72939,45.988,87.773,50.0,88.0
72952,47.262,90.214,53.0,90.0
72954,45.39,88.714,53.0,90.0
72957,45.742999999999995,88.506,50.0,90.0
72959,42.665,87.828,37.0,87.0
72960,45.318,86.812,55.0,89.0
72961,45.367,87.566,50.0,91.0
72962,45.72,88.634,52.0,90.0
72963,47.725,89.53,50.0,90.0
72966,45.479,88.28,51.0,88.0
72967,44.717,87.725,57.0,91.0
72972,44.685,87.63,53.0,92.0
72973,46.027,87.755,54.0,92.0
72976,45.425,87.856,55.0,90.0
72978,45.988,89.4205,51.0,91.5
72983,45.694,87.231,55.0,92.0
72998,47.296499999999995,88.5935,52.0,88.5
73004,46.215500000000006,89.0315,54.0,91.5
73005,46.1355,86.9585,55.0,88.5
73011,47.9595,89.473,60.5,93.5
73013,47.565,88.427,57.0,90.0
73015,46.902,87.917,51.0,88.0
73021,45.8905,88.64599999999999,51.0,90.0
73022,45.964,89.21199999999999,49.0,91.0
73023,46.86,88.99350000000001,50.0,89.5
73031,45.419,87.397,53.0,90.0
73038,45.366,89.379,54.0,92.0
73039,44.487,88.537,53.0,90.0
73043,47.30466666666667,88.73,57.333333333333336,91.33333333333333
73046,45.697,89.0475,50.5,91.5
73049,46.794,88.266,56.0,89.0
73051,44.28,89.382,55.0,92.0
73054,46.649,89.077,51.5,91.5
73055,46.26,88.319,48.0,90.0
73056,45.577,87.501,46.0,87.0
73057,44.889,88.752,51.0,88.0
73058,45.753,88.271,51.0,89.0
73061,45.444,88.371,55.0,90.0
73062,43.203,88.279,50.0,90.0
73064,48.539,88.83,54.0,89.0
73072,47.328,89.258,56.0,92.0
73073,44.693,88.504,52.0,90.0
73074,43.011,89.155,53.0,94.0
73076,45.516,87.555,51.0,90.0
73079,44.429500000000004,88.54650000000001,52.5,91.0
73087,46.809,89.108,52.0,88.0
73091,45.046,87.8565,53.5,89.0
73094,44.725,89.031,57.0,93.0
73101,47.988,89.461,60.0,91.0
73108,47.663,89.184,52.0,91.0
73116,46.694,87.906,51.0,89.0
73117,45.498,89.14,47.0,91.0
73120,45.45366666666666,88.748,53.666666666666664,91.33333333333333
73123,45.773,88.293,62.0,91.0
73125,46.3545,88.223,52.5,91.0
73129,45.402,88.731,52.0,89.0
73131,45.491,88.167,52.0,89.0
73137,44.372,87.466,46.0,87.0
73138,46.443,88.76650000000001,50.5,90.5
73139,45.7368,88.981,49.6,90.2
73143,46.225,88.706,58.0,91.0
73149,46.893,89.945,57.0,93.0
73151,46.15,87.245,50.0,86.0
73161,46.069,89.131,55.0,92.0
73167,45.479,87.551,52.0,91.0
73175,46.569,88.101,54.0,90.0
73177,44.8135,88.56700000000001,49.5,90.5
73179,46.102,89.061,51.0,90.0
73180,46.519,88.616,51.0,90.0
73183,45.2655,88.6095,53.0,90.0
73185,47.038,89.24,48.0,93.0
73189,45.632,88.314,48.0,88.0
73193,44.628,87.638,55.0,90.0
73197,47.986,89.034,58.0,91.0
73198,44.717,88.82,53.0,91.0
73201,46.088,88.411,59.0,93.0
73202,45.423,89.543,46.0,89.0
73203,45.608999999999995,87.755,53.5,89.0
73204,43.842,87.639,47.0,89.0
73206,46.823,88.271,54.0,89.0
73209,44.599,88.538,55.0,91.0
73213,46.648,87.468,50.0,85.0
73215,44.52,87.577,58.0,92.0
73221,45.068,88.116,52.0,90.0
73222,45.571,88.426,50.0,90.0
73228,45.172,88.348,51.0,90.0
73230,42.677,86.84,48.0,88.0
73233,45.7915,88.2195,55.0,91.5
73248,46.898,88.997,50.0,89.0
73251,44.545,86.728,55.0,87.0
73255,46.205,88.118,54.0,90.0
73258,44.817,85.846,61.0,89.0
73263,46.277,88.848,57.0,90.0
73268,45.621,88.579,50.0,92.0
73269,43.525,87.411,52.0,91.0
73270,42.675,87.64699999999999,51.0,89.0
73275,45.4575,88.3555,51.0,91.0
73276,44.466,88.581,49.0,89.0
73277,45.876,89.228,54.0,89.0
73283,44.379,88.326,47.0,87.0
73285,44.111,88.077,49.0,90.0
73286,44.1015,87.40799999999999,53.0,89.5
73293,46.482,89.505,50.0,92.0
73298,44.93,86.662,55.0,88.0
73302,47.58,88.599,49.0,87.0
73306,45.557,88.808,52.0,89.0
73307,46.347,88.433,47.0,89.0
73312,48.093,88.564,57.0,89.0
73313,44.263,88.557,47.0,88.0
73315,44.104,87.557,57.0,91.0
73318,45.997,87.678,49.0,90.0
73323,45.081,89.081,51.0,93.0
73324,42.534,88.032,44.0,89.0
73331,44.12,89.036,49.0,92.0
73332,43.233,87.982,54.0,91.0
73334,45.679500000000004,88.618,53.0,90.5
73339,45.17633333333333,87.154,50.666666666666664,88.66666666666667
73340,43.732,88.302,52.0,90.0
73341,44.93,88.33,50.0,89.0
73344,45.156,87.755,52.0,91.0
73346,46.317,87.667,50.0,89.0
73349,43.197,88.084,49.0,89.0
73354,47.569,87.715,52.0,88.0
73359,46.6545,88.8925,60.5,91.0
73364,45.101,89.172,50.0,91.0
73367,45.982,88.542,44.0,89.0
73368,46.756,88.996,55.0,92.0
73373,46.659,88.296,54.0,89.0
73376,44.584,86.98,50.0,91.0
73380,46.095,87.541,52.0,90.0
73383,45.606,88.13,51.0,89.0
73388,45.486,89.73,57.0,91.0
73391,46.0565,88.107,56.0,89.5
73393,46.055,89.864,52.0,90.0
73396,48.811,88.57,62.0,89.0
73397,44.745,88.007,49.0,88.0
73398,44.76,86.7,48.0,89.0
73408,46.432,89.371,51.0,91.0
73411,46.356,89.242,49.0,89.0
73412,45.719,87.338,56.0,87.0
73413,44.361,89.026,57.0,90.0
73420,46.211,88.651,53.0,91.0
73421,45.42033333333334,88.28733333333334,53.333333333333336,89.66666666666667
73422,45.476,86.413,49.0,85.0
73424,45.902,88.295,51.0,89.0
73426,44.456500000000005,87.7485,48.5,89.0
73428,45.381,88.092,52.0,91.0
73431,47.262,89.347,57.0,91.0
73432,45.4875,88.8075,49.5,89.0
73435,45.611,88.349,50.0,91.0
73439,45.579499999999996,88.19,50.5,91.0
73441,44.435,88.95,53.0,91.0
73442,42.759,88.649,52.0,91.0
73445,46.619,88.941,55.0,90.0
73446,46.344,88.643,50.0,92.0
73447,44.674,88.492,52.0,88.0
73448,46.891,88.889,47.0,88.0
73450,45.482,88.599,59.0,92.0
73451,45.9,88.18549999999999,50.0,88.5
73452,44.285,88.715,44.0,91.0
73453,43.822,88.127,45.0,89.0
73455,45.667,87.566,56.0,91.0
73457,43.354,88.003,59.0,93.0
73464,46.358,87.82,52.0,89.0
73465,42.27,87.23,49.0,90.0
73466,45.236,87.785,53.0,89.0
73468,45.825,87.455,57.0,88.0
73472,45.032000000000004,87.90666666666665,49.0,88.33333333333333
73480,46.201,89.27,51.0,90.0
73486,46.284,89.1925,47.5,89.5
73487,44.6455,88.491,45.5,89.0
73491,45.934,88.69,52.0,90.0
73503,43.768,88.136,53.0,90.0
73504,45.495,86.833,48.0,87.0
73505,45.772,86.252,53.0,88.0
73510,44.483,87.486,55.0,89.0
73512,44.294,88.485,53.0,89.0
73513,42.321,88.19,51.0,92.0
73514,46.0685,87.87899999999999,56.5,89.5
73516,45.267,87.407,49.0,88.0
73517,46.324,87.436,56.0,91.0
73520,44.605,88.109,52.0,91.0
73521,46.038,87.701,58.0,89.0
73523,45.1135,88.2485,54.0,90.0
73525,44.461,87.993,47.0,88.0
73530,43.738,87.82,51.0,90.0
73534,46.456,88.484,53.0,91.0
73535,46.303,88.096,57.0,90.0
